date,close,Change,Up,Down,Av up,Av down,Relative,RSI,SMA_10_close,percentage_diff,next_day_change,10_change
2010-04-23,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.050526398420333865,-13.043476978615953,0.0,-78.23126279380581
2010-04-26,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.04970259852707386,-11.602208785278801,0.0,-78.23126279380581
2010-04-27,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.04887879863381386,-10.112358522945842,0.0,-78.23126279380581
2010-04-28,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.048054998740553856,-8.571427685469823,0.0,-78.23126279380581
2010-04-29,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.047231198847293855,-6.976743452339473,0.0,-78.23126279380581
2010-04-30,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.046407398954033854,-5.3254432169919985,0.0,-78.23126279380581
2010-05-03,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.04558359906077385,-3.614457437472973,0.0,-78.23126279380581
2010-05-04,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.044759799167513846,-1.8404905933043225,0.0,-78.23126279380581
2010-05-05,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.043935999274253845,0.0,0.0,-78.23126279380581
2010-05-06,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-07,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-10,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-11,0.043935999274253845,0.0,0.0,0.0,0.0,0.0005884284951857158,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-12,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-14,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-17,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-18,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-19,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-20,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-21,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-24,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-25,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-26,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-27,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-28,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-05-31,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-01,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-02,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-03,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-04,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-07,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-08,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-09,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-10,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-11,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-14,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-15,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-16,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-17,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-18,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-21,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-22,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-23,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-24,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-28,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-29,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-06-30,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-01,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-02,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-05,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-06,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-07,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-08,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-09,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-12,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-13,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-14,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-15,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-16,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-19,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-20,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-21,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-22,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-23,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-26,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-27,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-28,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-29,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-07-30,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-02,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-03,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-04,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-05,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-06,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-09,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-10,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-11,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-12,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-13,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-16,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-17,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-18,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-19,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-20,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-23,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-24,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-25,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-26,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-27,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-30,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-08-31,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-01,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
