date,close,Change,Up,Down,Av up,Av down,Relative,RSI,SMA_10_close,percentage_diff,next_day_change,10_change
2000-01-03,30.25,0.03418803418803429,0.0,0.0,0.0,0.0,0.0,0.0,30.25,0.0,-0.024793388429752095,0.03418803418804295
2000-01-04,29.5,-0.024793388429752095,0.0,0.75,0.0,0.0,0.0,0.0,29.875,-1.2552301255230103,0.0,0.009386169386171872
2000-01-05,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,-0.8403361344537785,0.0,0.009386169386171872
2000-01-06,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6875,-0.6315789473684164,0.03389830508474567,0.009386169386171872
2000-01-07,30.5,0.03389830508474567,1.0,0.0,0.0,0.0,0.0,0.0,29.85,2.1775544388609624,0.012295081967213184,0.04328765622325648
2000-01-10,30.875,0.012295081967213184,0.375,0.0,0.0,0.0,0.0,0.0,30.020833333333332,2.84524635669674,0.00809716599190291,0.05558806044327902
2000-01-11,31.125,0.00809716599190291,0.25,0.0,0.0,0.0,0.0,0.0,30.178571428571427,3.1360946745562224,0.024096385542168752,0.06368972749271062
2000-01-12,31.875,0.024096385542168752,0.75,0.0,0.0,0.0,0.0,0.0,30.390625,4.884318766066831,0.0117647058823529,0.08780145995717081
2000-01-13,32.25,0.0117647058823529,0.375,0.0,0.0,0.0,0.0,0.0,30.59722222222222,5.401724920562878,0.023255813953488413,0.09957649542304825
2000-01-14,33.0,0.023255813953488413,0.75,0.0,0.0,0.0,0.0,0.0,30.8375,7.012565869477094,0.022727272727272707,0.12285546670105507
2000-01-17,33.75,0.022727272727272707,0.75,0.0,0.0,0.0,0.0,0.0,31.1875,8.21643286573146,-0.0037037037037036535,0.11138454675034826
2000-01-18,33.625,-0.0037037037037036535,0.0,0.125,0.0,0.0,0.0,0.0,31.6,6.408227848101267,-0.022304832713754608,0.13250295809590362
2000-01-19,32.875,-0.022304832713754608,0.0,0.75,0.0,0.0,0.0,0.0,31.9375,2.935420743639927,-0.026615969581749055,0.11016857081900255
