date,close,Change,Up,Down,Av up,Av down,Relative,RSI,SMA_10_close,percentage_diff,next_day_change,10_change
2000-01-03,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,-0.027770063871146933,0.0
2000-01-04,144.0,-0.027770063871146933,0.0,6.0,0.0,0.0,0.0,0.0,147.0,-2.0408163265306145,-0.027569613273515606,-0.027770063871146444
2000-01-07,138.5,-0.027569613273515606,0.0,5.5,0.0,0.0,0.0,0.0,144.16666666666666,-3.930635838150287,0.022726124943184697,-0.055332021045451096
2000-01-10,143.0,0.022726124943184697,4.5,0.0,0.0,0.0,0.0,0.0,143.875,-0.6081668114682914,0.049975012493753086,-0.03261847092650427
2000-01-11,154.0,0.049975012493753086,11.0,0.0,0.0,0.0,0.0,0.0,145.9,5.551747772446869,0.0,0.017340240482321967
2000-01-12,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.25,4.584040747028872,0.014432096983691719,0.017340240482321967
2000-01-13,157.5,0.014432096983691719,3.5,0.0,0.0,0.0,0.0,0.0,148.71428571428572,5.907780979827093,-0.01023960679909895,0.031774840026321804
2000-01-14,155.0,-0.01023960679909895,0.0,2.5,0.0,0.0,0.0,0.0,149.5,3.678929765886285,0.022113219684786058,0.021531979608546692
2000-01-17,160.5,0.022113219684786058,5.5,0.0,0.0,0.0,0.0,0.0,150.72222222222223,6.487283450055292,0.005769341718109895,0.04364996070729266
2000-01-18,162.0,0.005769341718109895,1.5,0.0,0.0,0.0,0.0,0.0,151.85,6.684227856437275,-0.022710890365645362,0.04942182074081369
2000-01-19,156.25,-0.022710890365645362,0.0,5.75,0.0,0.0,0.0,0.0,152.475,2.4758157074930454,0.005079623091966581,0.026699706239652343
2000-01-20,157.5,0.005079623091966581,1.25,0.0,0.0,0.0,0.0,0.0,153.825,2.3890784982935287,0.011869084003441993,0.05956729132210459
2000-01-21,160.5,0.011869084003441993,3.0,0.0,0.0,0.0,0.0,0.0,156.025,2.868130107354583,-0.002925045703839088,0.0990403637361359
2000-01-24,159.75,-0.002925045703839088,0.0,0.75,2.1607142857142856,1.4642857142857142,1.475609756097561,59.60591133004926,157.7,1.2999365884591052,0.021753214510339916,0.07336962204120834
2000-01-25,165.5,0.021753214510339916,5.75,0.0,2.5714285714285716,1.4642857142857142,1.75609756097561,63.716814159292035,158.85,4.186339313818066,0.000911365179470614,0.045141224976252836
2000-01-26,165.75,0.000911365179470614,0.25,0.0,2.5892857142857144,1.0357142857142858,2.5,71.42857142857143,160.025,3.577566005311672,-0.03462828698192838,0.046053001557133655
