2015-04-14;47.24;1.6715;1.6715;0;0.4669724;0.1136658;4.1082934;80.42399
2015-04-15;46.93;-0.3143;0;0.3143;0.4202752;0.1337292;3.1427328;75.861345
2015-04-16;46.22;-0.7143;0;0.7143;0.3782477;0.1917863;1.9722352;66.355287
2015-04-17;45.54;-0.6714;0;0.6714;0.3404229;0.2397477;1.4199217;58.676349
2015-04-20;45.67;0.1285;0.1285;0;0.3192306;0.2157729;1.4794751;59.668882
2015-04-21;47.02;1.3429;1.3429;0;0.4215976;0.1941956;2.1709943;68.46415
2015-04-22;47.3;0.2857;0.2857;0;0.4080078;0.174776;2.3344606;70.010142
2015-04-23;46.39;-0.9143;0;0.9143;0.367207;0.2487284;1.4763371;59.617775
2015-04-24;46.93;0.5429;0.5429;0;0.3847763;0.2238556;1.7188595;63.219872
2015-04-27;47.16;0.2286;0.2286;0;0.3691587;0.20147;1.8323255;64.693323
2015-04-28;46.06;-1.1;0;1.1;0.3322428;0.291323;1.1404619;53.281112
2015-04-29;44.14;-1.9144;0;1.9144;0.2990185;0.4536307;0.6591673;39.728802
2015-04-30;44.26;0.1143;0.1143;0;0.2805467;0.4082677;0.6871636;40.728926
2015-05-04;44.42;0.1572;0.1572;0;0.268212;0.3674409;0.729946;42.194728
2015-05-05;43.56;-0.8572;0;0.8572;0.2413908;0.4164168;0.5796856;36.696263
2015-05-06;42.72;-0.8429;0;0.8429;0.2172517;0.4590651;0.4732482;32.122774
2015-05-07;41.27;-1.4428;0;1.4428;0.1955266;0.5574386;0.3507589;25.967544
2015-05-08;42.63;1.3571;1.3571;0;0.3116839;0.5016948;0.621262;38.319656
2015-05-11;42.52;-0.1143;0;0.1143;0.2805155;0.4629553;0.6059236;37.730536
2015-05-12;42.3;-0.2143;0;0.2143;0.252464;0.4380897;0.5762837;36.559642
2015-05-13;42.86;0.5572;0.5572;0;0.2829376;0.3942808;0.7176043;41.779372
2015-05-15;43.22;0.3571;0.3571;0;0.2903538;0.3548527;0.8182376;45.001687
2015-05-18;43.64;0.4286;0.4286;0;0.3041784;0.3193674;0.9524404;48.782046
2015-05-19;44.62;0.9715;0.9715;0;0.3709106;0.2874307;1.2904349;56.340169
2015-05-20;44.27;-0.3429;0;0.3429;0.3338195;0.2929776;1.1394028;53.257985
2015-05-21;44.16;-0.1143;0;0.1143;0.3004376;0.2751099;1.092064;52.200316
2015-05-22;44.13;-0.0285;0;0.0285;0.2703938;0.2504489;1.0796368;51.914681
2015-05-25;44.44;0.3142;0.3142;0;0.2747744;0.225404;1.219031;54.935284
2015-05-26;44.00;-0.4428;0;0.4428;0.247297;0.2471436;1.0006207;50.015513
2015-05-27;44.89;0.8857;0.8857;0;0.3111373;0.2224292;1.3988148;58.312747
2015-05-28;44.76;-0.1286;0;0.1286;0.2800236;0.2130463;1.3143789;56.791863
2015-05-29;44.7;-0.0571;0;0.0571;0.2520212;0.1974517;1.2763691;56.070392
2015-06-01;44.77;0.0714;0.0714;0;0.2339591;0.1777065;1.3165477;56.832315
2015-06-02;44.62;-0.1571;0;0.1571;0.2105632;0.1756459;1.1987939;54.520521
2015-06-03;44.77;0.1571;0.1571;0;0.2052169;0.1580813;1.2981732;56.487178
2015-06-04;44.07;-0.7;0;0.7;0.1846952;0.2122731;0.8700826;46.526427
2015-06-05;43.26;-0.8143;0;0.8143;0.1662257;0.2724758;0.6100565;37.890379
2015-06-08;43.1;-0.1571;0;0.1571;0.1496031;0.2609382;0.5733276;36.440445
2015-06-09;43.3;0.2;0.2;0;0.1546428;0.2348444;0.6584903;39.704201
2015-06-10;43.73;0.4285;0.4285;0;0.1820285;0.21136;0.861225;46.271945
2015-06-11;43.86;0.1286;0.1286;0;0.1766857;0.190224;0.9288295;48.155087
2015-06-12;43.72;-0.1428;0;0.1428;0.1590171;0.1854816;0.8573201;46.158984
2015-06-15;42.86;-0.8572;0;0.8572;0.1431154;0.2526534;0.5664494;36.161359
2015-06-16;43.32;0.4572;0.4572;0;0.1745238;0.2273881;0.7675153;43.423405
2015-06-17;42.97;-0.3429;0;0.3429;0.1570715;0.2389393;0.6573698;39.663435
2015-06-18;42.83;-0.1429;0;0.1429;0.1413643;0.2293353;0.6164087;38.13446
2015-06-22;44.42;1.5858;1.5858;0;0.2858079;0.2064018;1.3847159;58.066285
2015-06-23;44.7;0.2857;0.2857;0;0.2857971;0.1857616;1.5385152;60.606893
2015-06-24;43.86;-0.8429;0;0.8429;0.2572174;0.2514755;1.0228329;50.564379
2015-06-25;43.87;0.0143;0.0143;0;0.2329256;0.2263279;1.0291512;50.718309
2015-06-26;44.33;0.4572;0.4572;0;0.2553531;0.2036951;1.2536043;55.626637
2015-06-29;42.86;-1.4715;0;1.4715;0.2298178;0.3304756;0.6954152;41.017399
2015-06-30;42.92;0.0571;0.0571;0;0.212546;0.2974281;0.7146131;41.677806
2015-07-01;43.74;0.8286;0.8286;0;0.2741514;0.2676852;1.0241558;50.596688
2015-07-02;43.56;-0.1857;0;0.1857;0.2467363;0.2594867;0.9508627;48.740627
2015-07-03;43.52;-0.0428;0;0.0428;0.2220626;0.2378181;0.9337501;48.28701
2015-07-06;42.82;-0.7001;0;0.7001;0.1998564;0.2840462;0.703605;41.300948
