date;close;Change;Up;Down;Av up;Av down;Relative;RSI
2015-01-16;3.24;-0.1998;0;0.1998;0.0568875;0.0346875;1.64;62.1212121212121
2015-01-19;3.33;0.0888;0.0888;0;0.06007875;0.03121875;1.92444444444444;65.8054711246201
2015-01-20;3.42;0.0888;0.0888;0;0.062950875;0.028096875;2.24049382716049;69.14050594331
2015-01-21;3.53;0.111;0.111;0;0.0677557875;0.0252871875;2.67945130315501;72.822034656566
2015-01-22;3.49;-0.0444;0;0.0444;0.06098020875;0.02719846875;2.24204565744165;69.1552770793143
2015-01-23;3.60;0.111;0.111;0;0.065982187875;0.024478621875;2.69550255778033;72.9400809669405
2015-01-26;3.60;0;0;0;0.0593839690875;0.0220307596875;2.69550255778033;72.9400809669405
2015-01-27;3.55;-0.0444;0;0.0444;0.05344557217875;0.02426768371875;2.20233512180877;68.7727872954417
2015-01-28;3.57;0.0222000000000002;0.0222000000000002;0;0.050321014960875;0.021840915346875;2.30397921340211;69.7334657571801
2015-01-29;3.60;0.0221999999999998;0.0221999999999998;0;0.0475089134647875;0.0196568238121875;2.41691709295025;70.7338523939258
2015-01-30;3.06;-0.5328;0;0.5328;0.0427580221183087;0.0709711414309687;0.602470543043161;37.5963568041035
2015-02-02;2.93;-0.1332;0;0.1332;0.0384822199064779;0.0771940272878719;0.498512919438314;33.267175275684
2015-02-03;2.93;0;0;0;0.0346339979158301;0.0694746245590847;0.498512919438314;33.267175275684
2015-02-04;3.00;0.0665999999999998;0.0665999999999998;0;0.0378305981242471;0.0625271621031762;0.605026629256301;37.6957377670827
2015-02-05;2.82;-0.1777;0;0.1777;0.0340475383118223;0.0740444458928586;0.459825688493756;31.4986708425581
2015-02-06;2.79;-0.0333000000000001;0;0.0333000000000001;0.0306427844806401;0.0699700013035727;0.437941745172948;30.4561535015645
2015-02-09;2.94;0.1555;0.1555;0;0.0431285060325761;0.0629730011732154;0.684872965065545;40.6483443717018
2015-02-10;3.03;0.0888;0.0888;0;0.0476956554293185;0.0566757010558939;0.841553867719797;45.6980315629759
2015-02-11;3.11;0.077;0.077;0;0.0506260898863866;0.0510081309503045;0.992510192849644;49.8120509702476
2015-02-12;3.01;-0.0937999999999999;0;0.0937999999999999;0.045563480897748;0.055287317855274;0.82412174555148;45.1790976979076
2015-02-13;2.96;-0.0586000000000002;0;0.0586000000000002;0.0410071328079732;0.0556185860697467;0.737291896571221;42.4391490011762
2015-02-16;2.93;-0.0234999999999999;0;0.0234999999999999;0.0369064195271759;0.052406727462772;0.704230569508332;41.3224936876647
2015-02-17;2.93;0;0;0;0.0332157775744583;0.0471660547164948;0.704230569508332;41.3224936876647
